,Entity,Code,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease ,Nutritional deficiencies ,Malaria ,Drowning ,Interpersonal violence ,Maternal disorders ,HIV/AIDS ,Drug use disorders ,Tuberculosis ,Cardiovascular diseases ,Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self,Exposure to forces of nature ,Diarrheal diseases ,Environmental heat and cold exposure ,Neoplasms ,Conflict and terrorism ,Diabetes mellitus ,Chronic kidney disease ,Poisonings ,Protein,Terrorism,Road injuries ,Chronic respiratory diseases ,Cirrhosis and other chronic liver diseases ,Digestive diseases ,"Fire, heat, and hot substances ",Acute hepatitis ,Total
131,Nepal,NPL,37391,41405,13742,108221,1643,62520,13560,80001,34487,658,301406,913752,502770,519032,5022,88624,15571,355418,6599,406878,14447,54405,85814,17920,95262,1963,66812,822694,188003,273247,5157,26986,10322820
132,Netherlands,NLD,3732,191095,42419,6074,0,2954,5840,440,5168,3665,4343,1334457,189718,13431,9705,57082,43,7660,857,1338631,230,103768,76627,530,4422,13,34449,263005,51593,174262,3627,163,7860006
133,New Caledonia,NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,New Zealand,NZL,682,40940,8236,356,0,1788,1934,199,671,1411,678,328560,21517,4225,1301,15897,287,1243,181,247515,0,17532,17445,250,252,0,14739,57809,7172,25560,822,42,1638488
135,Nicaragua,NIC,4238,13636,4081,8905,286,5214,12919,2710,6618,255,7083,168887,37149,41187,8106,9281,4855,25264,87,86863,329,34246,57195,822,8855,149,18379,27119,30148,45063,833,283,1342090
136,Niger,NER,314819,14695,4065,123982,693962,25082,36765,78160,69439,242,173078,329937,742507,525214,2000,18126,488,1021934,2986,125297,3353,37512,44573,12042,121040,1300,61895,74913,71448,134701,17060,10238,9785706
137,Nigeria,NGA,1520376,241713,66545,286858,6422063,103723,306846,525566,2216718,4897,1769390,4176488,5917528,5262229,28341,190297,1899,7449328,26363,1618730,78908,541020,464656,107604,270470,22674,487695,641714,995203,1716202,110784,119860,87385376
138,Niue,NIU,0,12,0,0,0,0,0,0,0,0,0,263,30,1,0,0,1,0,0,90,0,80,30,0,0,0,0,45,9,30,0,0,1182
139,North Korea,PRK,14250,88087,26290,632056,81,59067,26585,16471,9620,7973,106488,2241454,253159,210676,9524,88069,2669,18000,3272,978429,3,95880,102116,12984,629389,3,229844,780804,132430,236074,9595,7705,14058094
140,North Macedonia,MKD,387,9156,3887,37,0,816,1850,92,56,282,2521,360839,6094,7102,847,6356,37,1362,173,128961,215,23392,8744,281,14,49,5615,18904,8020,15477,402,36,1224008
141,Northern Mariana Islands,MNP,0,90,45,30,0,141,117,28,23,0,44,2340,281,111,56,265,5,44,0,1593,5,524,450,0,30,0,300,421,367,505,12,0,15654
142,Norway,NOR,878,65284,11827,1402,0,2045,1289,80,773,7568,1738,490252,68615,2898,7758,18010,140,6724,971,345384,88,19988,17960,571,1182,78,9041,67974,10864,42226,2059,60,2411454
143,Oman,OMN,562,3670,1297,1572,315,3524,628,737,1388,271,821,132123,11765,13415,175,2688,154,1350,284,28365,0,14973,4155,667,113,0,56856,6578,6390,8187,590,1334,609894
144,Pakistan,PAK,752870,244109,92715,452930,213590,125812,344555,503820,36968,17829,2309703,7745192,2429268,7753349,45501,380916,88169,3187522,14001,3633069,67235,845343,874990,67217,296019,23324,421970,2276479,1039240,1523030,75442,293025,76350404
145,Palau,PLW,0,45,30,0,0,60,66,1,18,0,30,1519,507,58,0,87,0,40,0,791,0,453,274,20,0,0,102,439,93,151,30,0,9628
146,Palestine,PSE,1853,6514,1783,421,0,1804,4906,873,223,107,936,148182,14718,47062,126,2414,10,1447,51,52021,45957,20982,15772,182,385,1342,10090,11655,7711,11551,1283,238,825198
147,Panama,PAN,1564,18634,3363,4563,55,4466,14278,1347,13521,320,6188,118409,17881,13165,694,5252,201,5690,39,79014,51,21135,19391,405,4247,35,15935,18302,9991,19381,558,110,836370
148,Papua New Guinea,PNG,21081,7989,3979,6284,35997,8916,15262,19822,64513,435,41706,293524,165597,99287,1780,5864,3062,85282,662,102728,280,83158,14072,3358,6194,66,47315,150913,12946,28270,16201,2680,2698446
149,Paraguay,PRY,3527,24340,4019,6825,21,4752,21556,4264,10234,209,7227,213030,38303,37494,4506,8268,166,11878,141,118741,69,42714,30102,441,6707,53,30291,21518,14728,33720,1597,86,1403054
150,Peru,PER,9205,119043,27585,60855,5267,29588,35797,30220,56394,4034,118995,681021,508053,221763,10689,26655,3624,74514,4077,706096,9611,89295,158881,6631,56273,3854,131011,148708,156657,300421,10742,2001,7615120
151,Philippines,PHL,95695,200646,45991,124822,10584,148009,455790,60207,110923,6722,863796,3724705,1387188,878090,30253,101766,46892,407292,4603,1644164,24968,518565,588007,6190,109742,6268,272369,778269,317620,674218,27453,14501,27372616
152,Poland,POL,7276,361248,76105,2984,0,37071,30348,1019,3314,6337,33190,5233134,266728,49477,114388,224860,241,3874,12988,3062100,42,188412,142563,14332,2169,9,190943,343254,243505,500794,20375,409,22346978
153,Portugal,PRT,2028,117671,26758,3832,0,4219,7301,266,23564,1730,10734,1168117,172377,8056,4609,44312,133,3272,1191,807152,11,116415,87915,992,3018,2,60113,172346,80697,156107,5116,356,6180820
154,Puerto Rico,PRI,593,38346,7318,2549,0,1565,25511,322,20337,4600,1233,245108,37557,9193,5422,9228,2400,1876,126,170695,56,82187,41444,600,2307,0,17447,44738,31575,48552,1113,188,1708372
155,Qatar,QAT,132,525,268,30,0,752,377,198,101,99,227,19305,1251,2754,88,2105,0,112,71,11007,6,5367,2001,120,5,3,12711,1128,2625,3285,638,43,134668
156,Romania,ROU,5396,168815,45803,1841,0,35349,20677,2361,7929,5639,54183,4474916,206799,31980,33121,79917,349,4394,11979,1352953,633,63448,69874,18663,1511,1,100480,288146,329765,449027,16599,968,15767032
157,Russia,RUS,60519,972305,236367,15906,0,423044,1215179,15028,350679,259452,529853,33903781,1113475,237923,1194672,1793855,3086,27964,573771,9079313,39125,369649,325433,298954,8167,4308,1067225,1518195,1233608,2398456,322573,3598,119190926
158,Rwanda,RWA,53384,12203,2943,75861,198066,8955,11964,36469,226568,351,209473,278336,259524,209929,2729,20201,458,308316,1687,148334,528779,41385,28155,6139,73568,3236,70689,67750,66153,108696,6722,6988,6148022
159,Saint Kitts and Nevis,KNA,34,222,86,140,0,77,270,38,458,0,42,4545,601,287,201,60,5,108,0,2170,0,750,601,0,112,0,208,264,275,558,69,0,24362
160,Saint Lucia,LCA,75,731,220,182,0,282,774,51,254,22,159,9576,1195,886,180,322,27,164,0,5985,8,2787,1258,9,156,2,771,1211,723,1246,98,0,58708
161,Saint Vincent and the Grenadines,VCT,67,504,135,250,0,227,576,31,696,0,101,8390,988,788,161,213,25,173,0,4385,4,2447,849,3,226,0,331,433,405,933,104,0,46890
162,Samoa,WSM,93,638,249,131,0,388,338,58,183,30,455,13383,1816,748,53,722,191,359,30,3773,0,2902,1455,30,126,0,884,3118,786,1481,60,30,69020
163,San Marino,SMR,0,384,53,0,0,0,0,0,25,0,0,2309,170,30,0,103,0,0,0,2671,0,111,80,0,0,0,90,229,192,314,0,0,13522
